Subject_ID,pi_condition_0,pi_condition_1,delta_pi,beta_cond_mean,p_OP_shift
ae11,0.7353755598703692,0.7456691451611706,0.010293585290801377,-0.014398253965497855,0.50475
bh3,0.4423285869019389,0.47604529794920736,0.03371671104726848,0.019995031120360787,0.422
fd13,0.7832101100240009,0.8027557620342508,0.019545652010249936,0.0621598888703622,0.34175
fj4,0.4066512771307431,0.43939750205621475,0.032746224925471634,0.013128416572552084,0.438
iz8,0.387737331431042,0.3827526192285033,-0.00498471220253871,0.07289240095588828,0.31825
kp4,0.29543521654099286,0.28432888945706736,-0.011106327083925505,0.0735843000686076,0.30825
lb11,0.7737819814655659,0.7655138324126366,-0.008268149052929274,0.07986381722569053,0.294
nx8,0.46312650980178677,0.49920347203588905,0.03607696223410228,0.1106792927876457,0.255
or1,0.38704780495582863,0.4220544036332949,0.03500659867746625,0.08673499031764681,0.29125
os8,0.3334140221478224,0.3917535012154135,0.05833947906759113,0.12356012191635413,0.25875
ox19,0.7288973814519139,0.7480961684597287,0.019198787007814855,0.07678379324090043,0.31875
oy13,0.750126878092383,0.783557692986561,0.033430814894177985,0.0965885459357891,0.26625
pt3,0.30028787454077593,0.34703800255421896,0.046750128013443026,0.02717862672535,0.409
pz19,0.8229817980966272,0.8443679226707169,0.021386124574089727,0.0889814935077872,0.292
qh13,0.5601255617246681,0.6203068608379038,0.060181299113235664,0.13134065941232886,0.21675
ri12,0.34868794895569016,0.4014311434301905,0.05274319447450032,-0.18057237857592348,0.7665
rn14,0.2954847816532871,0.3237809978748654,0.028296216221578296,-0.020878333039604104,0.51425
ry1,0.8722401217748734,0.8772299430655003,0.004989821290626861,-0.010182202177488168,0.483
sd9,0.6289552167304995,0.6469877185317728,0.01803250180127336,-0.03077256452216909,0.526
sn16,0.5594882998968426,0.5584697919147481,-0.0010185079820944631,0.07686957470142548,0.3115
tb12,0.8714909724499333,0.8285164431090065,-0.042974529340926826,0.09967852127935702,0.2735
ti14,0.7895574562912667,0.8339420657436832,0.04438460945241651,0.14769166731839728,0.154
uk5,0.34107578697375524,0.3772436518523093,0.03616786487855406,0.04827635024262608,0.37325
wp8,0.416196220389264,0.40630537614994894,-0.009890844239315078,0.02760054477390885,0.3965
xm15,0.20066959830009287,0.20335071742745242,0.002681119127359549,0.07254159740171157,0.326
xp7,0.446275366084195,0.4549898201853776,0.0087144541011826,0.002435395428882058,0.4655
xs3,0.5668336249001356,0.5933198533831018,0.026486228482966223,0.11785041035627618,0.23775
xt17,0.786211911866602,0.8069985192100948,0.020786607343492802,0.03996143339027333,0.361
zu11,0.5892395098886839,0.6253882755680923,0.03614876567940839,0.05647252093914535,0.34575
