foraenv1,foraenv1,foraenv1,foraenv1,foraenv1,foraenv1,foraenv1,foraenv2,foraenv2,foraenv2,foraenv2,foraenv2,foraenv2,foraenv2,waitenv1,waitenv1,waitenv1,waitenv1,waitenv1,waitenv1,waitenv1,waitenv2,waitenv2,waitenv2,waitenv2,waitenv2,waitenv2,waitenv2
-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.0,-0.5,-0.5,0.0,0.0,0.0,0.0,-1.0,-0.64,-0.64,-0.4,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
-1.0,-0.5,-0.5,-0.28500000000000003,0.0,0.0,0.0,-1.0,-0.64,-0.64,-0.5367999999999999,-0.228,0.0,0.0,-1.0,-1.0,-0.5700000000000001,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.5700000000000001,0.0,0.0,0.0,0.0
-1.0,-0.7675000000000001,-0.5,-0.28500000000000003,-0.2675,0.0,0.0,-1.0,-0.8326,-0.64,-0.5367999999999999,-0.3564,-0.21400000000000002,0.0,-1.0,-1.0,-0.5700000000000001,-0.535,0.0,0.0,0.0,-1.0,-1.0,-0.5700000000000001,-0.535,0.0,0.0,0.0
-1.0,-0.7675000000000001,-0.7050000000000001,-0.400025,-0.2675,-0.20500000000000002,0.0,-1.0,-0.8326,-0.7876000000000001,-0.592012,-0.44842000000000004,-0.3124,-0.16400000000000003,-1.0,-1.0,-0.80005,-0.535,-0.41000000000000003,0.0,0.0,-1.0,-1.0,-0.80005,-0.535,-0.41000000000000003,0.0,0.0
-1.0,-0.8731500000000001,-0.73375625,-0.5694,-0.37315000000000004,-0.23375625,-0.169375,-1.0,-0.908668,-0.8083045,-0.713962,-0.499132,-0.41072300000000006,-0.268305,-1.0,-1.0,-0.80005,-0.7463000000000001,-0.4675125,-0.33875,0.0,-1.0,-1.0,-0.80005,-0.7463000000000001,-0.4675125,-0.33875,0.0
-1.0,-0.8834515625,-0.8208405,-0.655620125,-0.526578125,-0.3208405,-0.21016562500000002,-1.0,-0.916085125,-0.87100516,-0.76513741,-0.643471475,-0.46076469,-0.35755190000000003,-1.0,-1.0,-0.8909090000000001,-0.766903125,-0.641681,-0.42033125000000005,-0.286253125,-1.0,-1.0,-0.8909090000000001,-0.766903125,-0.641681,-0.42033125000000005,-0.286253125
-1.0,-0.9229614150000001,-0.85518938375,-0.7419489531249999,-0.6082543524999999,-0.47929407125,-0.41616946875,-1.0,-0.9445322188,-0.8957363563,-0.826231045,-0.6963397317000001,-0.5982154112,-0.513697977,-1.0,-1.0,-0.8997683437499999,-0.8459228299999999,-0.7103787675,-0.5841295625,-0.370585875,-1.0,-1.0,-0.8997683437499999,-0.8459228299999999,-0.7103787675,-0.5841295625,-0.370585875
-1.0,-0.9377314350125,-0.8920449995312499,-0.7930219295000001,-0.70358734345,-0.57733793703125,-0.51144145855,-1.0,-0.9551666332090001,-0.9222723996625,-0.858926171212,-0.775026069641,-0.6717776627850001,-0.603598204729,-1.0,-1.0,-0.9337468169,-0.875462870025,-0.7840899990624999,-0.6522970421000001,-0.531711816875,-1.0,-1.0,-0.9337468169,-0.875462870025,-0.7840899990624999,-0.6522970421000001,-0.531711816875
-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.0,-0.5555555555555556,-0.5555555555555556,-0.3333333333333333,0.0,0.0,0.0,-1.0,-0.73,-0.73,-0.1,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
-1.0,-0.5555555555555556,-0.5555555555555556,-0.47617283950617284,-0.21425925925925926,0.0,0.0,-1.0,-0.73,-0.73,-0.50495,-0.06427777777777778,0.0,0.0,-1.0,-1.0,-0.6427777777777778,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.6427777777777778,0.0,0.0,0.0,0.0
-1.0,-0.5555555555555556,-0.5555555555555556,-0.47617283950617284,-0.3474074074074074,-0.19972222222222222,0.0,-1.0,-0.73,-0.73,-0.50495,-0.44175277777777777,-0.059916666666666674,0.0,-1.0,-1.0,-0.6427777777777778,-0.5991666666666666,0.0,0.0,0.0,-1.0,-1.0,-0.6427777777777778,-0.5991666666666666,0.0,0.0,0.0
-1.0,-0.773582853223594,-0.5555555555555556,-0.47617283950617284,-0.3474074074074074,-0.30873587105624145,-0.1635204732510288,-1.0,-0.8624515833333333,-0.73,-0.50495,-0.44175277777777777,-0.3689703611111111,-0.04905614197530865,-1.0,-1.0,-0.6427777777777778,-0.5991666666666666,-0.4905614197530864,0.0,0.0,-1.0,-1.0,-0.6427777777777778,-0.5991666666666666,-0.4905614197530864,0.0,0.0
-1.0,-0.773582853223594,-0.7309244855967079,-0.5151149373952142,-0.40582055424096936,-0.30873587105624145,-0.25120493827160495,-1.0,-0.8624515833333333,-0.8365366249999999,-0.6153508475154321,-0.4592767218278464,-0.3689703611111111,-0.29764160030864195,-1.0,-1.0,-0.8180172182784636,-0.5991666666666666,-0.4905614197530864,-0.3945800925925926,0.0,-1.0,-1.0,-0.8180172182784636,-0.5991666666666666,-0.4905614197530864,-0.3945800925925926,0.0
-1.0,-0.8031736897915291,-0.7477993946819591,-0.6657163223212925,-0.44477703985672923,-0.38196601776384864,-0.2818355202401819,-1.0,-0.8804280165483539,-0.8467881322692901,-0.7068411888580248,-0.5697183585485254,-0.42844579047325104,-0.328219722164771,-1.0,-1.0,-0.8180172182784636,-0.7744708519375858,-0.5571408020309404,-0.4325486380344079,-0.3388531160836763,-1.0,-1.0,-0.8180172182784636,-0.7744708519375858,-0.5571408020309404,-0.4325486380344079,-0.3388531160836763
-1.0,-0.8605683358176262,-0.7782039648639266,-0.7004917025348981,-0.5901477396977948,-0.5490436572699842,-0.47565162149628354,-1.0,-0.9152952640092078,-0.8652589086548355,-0.7397401316090717,-0.659769776124196,-0.5930039043941748,-0.4665894534782504,-1.0,-1.0,-0.8418008531699415,-0.7829083064802114,-0.6862787555896587,-0.5009589209438348,-0.40520590411854984,-1.0,-1.0,-0.8418008531699415,-0.7829083064802114,-0.6862787555896587,-0.5009589209438348,-0.40520590411854984
-1.0,-0.8756070742542156,-0.833315003515998,-0.7532999204002414,-0.6560693149164798,-0.6101180752965524,-0.5590098759457939,-1.0,-0.924431297609436,-0.8987388646359687,-0.7946559426002882,-0.7085002917840186,-0.6440788627690524,-0.575141203303134,-1.0,-1.0,-0.887931799913417,-0.810002409016934,-0.7201159170719849,-0.6249587579109954,-0.5009589209438348,-1.0,-1.0,-0.887931799913417,-0.810002409016934,-0.7201159170719849,-0.6249587579109954,-0.5009589209438348
