gen_model,fit_model,sim_idx,gen_idx,loo_elpd,rhat_max,ess_min
win stay lose shift,win stay lose shift,0,0,-6589.9795610981455,1.0115902612713656,390.22861438909683
win stay lose shift,** wait when safe,0,0,-6836.4305804276155,1.0482436108529165,152.340019650648
win stay lose shift,** binary energy state,0,0,-6835.636182607435,1.0080687366536785,377.01298578802044
win stay lose shift,weather type,0,0,-6842.05829603995,1.0154019045556433,383.54807321836245
win stay lose shift,* $\mathit{r}$ predator,0,0,-6842.927844567092,1.0214560960077361,234.7301754324256
win stay lose shift,* $\mathit{p}$ gain,0,0,-6842.591838963357,1.018612659993734,267.41499689912513
win stay lose shift,expected gain naive,0,0,-6842.56566121273,1.0126253814382462,271.69321008932934
win stay lose shift,marginal value,0,0,-6842.300894015403,1.0089283705964043,357.589863537378
win stay lose shift,multi-heuristic policy,0,0,-6840.282900358625,1.0111124637568374,318.4184564401684
win stay lose shift,optimal policy values,0,0,-6837.390490762235,1.007251418516244,340.29002685977713
win stay lose shift,win stay lose shift,1,0,-6696.279114054205,1.0081583803905405,325.5698518612718
win stay lose shift,** wait when safe,1,0,-6842.01691901034,1.0188096028552784,269.48354479281994
win stay lose shift,** binary energy state,1,0,-6839.447587255077,1.0095174924277615,367.12369054957225
win stay lose shift,weather type,1,0,-6837.574766362886,1.0105695050912444,359.5623513769255
win stay lose shift,* $\mathit{r}$ predator,1,0,-6841.87217770053,1.0161669731975829,304.44564185701
win stay lose shift,* $\mathit{p}$ gain,1,0,-6842.743852432731,1.0138437651308356,364.13607840830855
win stay lose shift,expected gain naive,1,0,-6841.922079190773,1.014216201493706,315.177605080001
win stay lose shift,marginal value,1,0,-6842.7275167060525,1.0077148803221352,331.37233557648983
win stay lose shift,multi-heuristic policy,1,0,-6845.243691049168,1.0310510896108187,269.4148459488196
win stay lose shift,optimal policy values,1,0,-6841.899322684677,1.0145044444792155,211.13521752688035
win stay lose shift,win stay lose shift,2,0,-6595.699941311226,1.0157165864270548,238.17042543843073
win stay lose shift,** wait when safe,2,0,-6762.420407535677,1.011133100580997,399.9646905732054
win stay lose shift,** binary energy state,2,0,-6759.792934623867,1.0216381980758311,159.78964075669194
win stay lose shift,weather type,2,0,-6764.2657663633045,1.0123123205536426,222.7818183282052
win stay lose shift,* $\mathit{r}$ predator,2,0,-6763.964065380664,1.0044417756231223,206.23116710240404
win stay lose shift,* $\mathit{p}$ gain,2,0,-6756.2497018163795,1.0170326020905731,252.46948468539108
win stay lose shift,expected gain naive,2,0,-6761.4508831682015,1.014338495544893,255.36687123910636
win stay lose shift,marginal value,2,0,-6761.816169913032,1.012601878608134,199.44395368327994
win stay lose shift,multi-heuristic policy,2,0,-6758.810814760355,1.0081688597107077,473.7231772324271
win stay lose shift,optimal policy values,2,0,-6763.466220094753,1.0207519871608777,186.62861636845184
win stay lose shift,win stay lose shift,3,0,-6678.595225971449,1.0105614692726146,434.86672691490645
win stay lose shift,** wait when safe,3,0,-6861.199682066002,1.0072106547228954,239.39021723339408
win stay lose shift,** binary energy state,3,0,-6863.587544421742,1.0154269390633222,370.6238222404757
win stay lose shift,weather type,3,0,-6865.931820958355,1.0069616159645622,541.1083299529325
win stay lose shift,* $\mathit{r}$ predator,3,0,-6865.783844858624,1.0030742772631907,317.69491784494176
win stay lose shift,* $\mathit{p}$ gain,3,0,-6861.831958052197,1.0096759974663845,359.20123464095803
win stay lose shift,expected gain naive,3,0,-6865.224234976953,1.0108907870586077,398.1806556822403
win stay lose shift,marginal value,3,0,-6865.508107105744,1.0079152891162393,424.0255080609193
win stay lose shift,multi-heuristic policy,3,0,-6861.912412675167,1.0140867667545237,315.72631427699565
win stay lose shift,optimal policy values,3,0,-6864.001008370573,1.0119811778148937,337.9452342582951
win stay lose shift,win stay lose shift,4,0,-6770.7253254026955,1.0072735572161293,435.4032456216824
win stay lose shift,** wait when safe,4,0,-6910.01890996259,1.0211630507618934,413.2670750732832
win stay lose shift,** binary energy state,4,0,-6904.0380508220705,1.0067171966450854,464.8730458719372
win stay lose shift,weather type,4,0,-6912.710815956767,1.0085980146651101,470.1753288158861
win stay lose shift,* $\mathit{r}$ predator,4,0,-6910.5755400254475,1.0092875577891998,381.4792064438171
win stay lose shift,* $\mathit{p}$ gain,4,0,-6911.100481185955,1.0344811782151873,269.731840643901
win stay lose shift,expected gain naive,4,0,-6912.18075314211,1.0119866270727138,444.77914646664453
win stay lose shift,marginal value,4,0,-6911.3226732104395,1.0047893506714312,365.4248052577711
win stay lose shift,multi-heuristic policy,4,0,-6909.598104440662,1.009116414757373,360.96485703349697
win stay lose shift,optimal policy values,4,0,-6910.858091138494,1.00985119710839,317.32668476383674
win stay lose shift,win stay lose shift,5,0,-6322.678350793209,1.0181089684904414,188.31045041644208
win stay lose shift,** wait when safe,5,0,-6462.657043608828,1.014523617837728,347.8349889587722
win stay lose shift,** binary energy state,5,0,-6460.87308897247,1.0176969968038876,125.56797745938721
win stay lose shift,weather type,5,0,-6462.7699300913355,1.017641276727091,197.33701193832187
win stay lose shift,* $\mathit{r}$ predator,5,0,-6462.470660966314,1.0451467149592393,135.3948146042804
win stay lose shift,* $\mathit{p}$ gain,5,0,-6463.4694613123875,1.0557298461276834,119.15355320748262
win stay lose shift,expected gain naive,5,0,-6463.2327010691115,1.0144200141497937,179.58342636164105
win stay lose shift,marginal value,5,0,-6462.722530397135,1.0263040308835039,150.97310069307215
win stay lose shift,multi-heuristic policy,5,0,-6467.91028104615,1.009789322197668,452.4209474229581
win stay lose shift,optimal policy values,5,0,-6462.606915112241,1.0160284942823488,171.62974262875557
win stay lose shift,win stay lose shift,6,0,-6551.989352340828,1.0091102804976861,452.87143339138873
win stay lose shift,** wait when safe,6,0,-6742.632359655334,1.0084299648753705,442.38500673468906
win stay lose shift,** binary energy state,6,0,-6743.774970055176,1.0108546567433225,188.11925303168698
win stay lose shift,weather type,6,0,-6749.103978309184,1.0103097480299663,322.08945152544715
win stay lose shift,* $\mathit{r}$ predator,6,0,-6749.125954971524,1.0081874114248148,222.7006858749955
win stay lose shift,* $\mathit{p}$ gain,6,0,-6741.8479181247185,1.0105439147020885,214.09272096096004
win stay lose shift,expected gain naive,6,0,-6744.814361731231,1.0065729875640939,237.53716389627542
win stay lose shift,marginal value,6,0,-6747.131318473564,1.0137461753539836,235.27348630852282
win stay lose shift,multi-heuristic policy,6,0,-6741.419302713741,1.0079017880705472,473.2376308178756
win stay lose shift,optimal policy values,6,0,-6747.693857964345,1.0284779177981396,205.71736565991085
win stay lose shift,win stay lose shift,7,0,-6755.770502085773,1.004247489444806,772.9978828743103
win stay lose shift,** wait when safe,7,0,-6933.88439706267,1.0289957906821094,186.54107293707776
win stay lose shift,** binary energy state,7,0,-6936.775687882219,1.0079558778007653,435.3240314637248
win stay lose shift,weather type,7,0,-6938.309716888591,1.0033464177958746,476.32741829224767
win stay lose shift,* $\mathit{r}$ predator,7,0,-6940.30447233407,1.013120459124952,381.18437795914343
win stay lose shift,* $\mathit{p}$ gain,7,0,-6939.26352897705,1.0066179073089325,385.92044582776487
win stay lose shift,expected gain naive,7,0,-6940.416844394386,1.0085982851516704,309.50422787757793
win stay lose shift,marginal value,7,0,-6939.132593894249,1.0139310458303508,340.6714925763055
win stay lose shift,multi-heuristic policy,7,0,-6940.386129365284,1.0111266444508202,328.95856297197497
win stay lose shift,optimal policy values,7,0,-6936.705370719283,1.0137405642710622,395.2968687507725
win stay lose shift,win stay lose shift,8,0,-6729.2025819994615,1.0048727099047916,531.073355037223
win stay lose shift,** wait when safe,8,0,-6907.404585977509,1.0081029110613315,265.90572022516
win stay lose shift,** binary energy state,8,0,-6908.111608325176,1.0104495241470746,391.831393422801
win stay lose shift,weather type,8,0,-6910.917144682566,1.0058632780069583,417.2289933904202
win stay lose shift,* $\mathit{r}$ predator,8,0,-6910.73111923463,1.022538033348768,361.1468014552508
win stay lose shift,* $\mathit{p}$ gain,8,0,-6910.217963423476,1.0181015651096037,360.2507790568353
win stay lose shift,expected gain naive,8,0,-6910.798998094536,1.0255352476702133,350.56879357195567
win stay lose shift,marginal value,8,0,-6911.089465268754,1.0095065546255506,416.1489715719049
win stay lose shift,multi-heuristic policy,8,0,-6912.260044101462,1.010557672909613,328.23184433193666
win stay lose shift,optimal policy values,8,0,-6905.675075931486,1.0063381478630582,313.1973341797696
